codigo_datasus;codigo_cid10;descricao
A000;A00.0;Cólera devida a Vibrio cholerae 01, biótipo cholerae
A001;A00.1;Cólera devida a Vibrio cholerae 01, biótipo El Tor
A009;A00.9;Cólera não especificada
A010;A01.0;Febre tifóide
A011;A01.1;Febre paratifóide A
A012;A01.2;Febre paratifóide B
A013;A01.3;Febre paratifóide C
A014;A01.4;Febre paratifóide não especificada
A020;A02.0;Enterite por salmonela
A021;A02.1;Septicemia por salmonela
A022;A02.2;Infecções localizadas por salmonela
A028;A02.8;Outras infecções especificadas por salmonela
A029;A02.9;Infecção não especificada por salmonela
A030;A03.0;Shiguelose devida a Shigella dysenteriae
A031;A03.1;Shiguelose devida a Shigella flexneri
A032;A03.2;Shiguelose devida a Shigella boydii
A033;A03.3;Shiguelose devida a Shigella sonnei
A038;A03.8;Outras shigueloses
A039;A03.9;Shiguelose não especificada
A040;A04.0;Infecção por Escherichia coli enteropatogênica
A041;A04.1;Infecção por Escherichia coli enterotoxigênica
A042;A04.2;Infecção por Escherichia coli enteroinvasiva
A043;A04.3;Infecção por Escherichia coli enterohemorrágica
A044;A04.4;Outras infecções intestinais por Escherichia coli
A045;A04.5;Enterite por Campylobacter
A046;A04.6;Enterite devida a Yersinia enterocolítica
A047;A04.7;Enterocolite devida a Clostridium difficile
A048;A04.8;Outras infecções bacterianas intestinais especificadas
A049;A04.9;Infecção intestinal bacteriana não especificada
A050;A05.0;Intoxicação alimentar estafilocócica
A051;A05.1;Botulismo
A052;A05.2;Intoxicação alimentar devida a Clostridium perfringens [Clostridium welchii]
A053;A05.3;Intoxicação alimentar devida a Vibrio parahemolyticus
A054;A05.4;Intoxicação alimentar devida a Bacillus cereus
A058;A05.8;Outras intoxicações alimentares bacterianas especificadas
A059;A05.9;Intoxicação alimentar bacteriana não especificada
A060;A06.0;Disenteria amebiana aguda
A061;A06.1;Amebíase intestinal crônica
A062;A06.2;Colite amebiana não-disentérica
A063;A06.3;Ameboma intestinal
A064;A06.4;Abscesso amebiano do fígado
A065;A06.5;Abscesso amebiano do pulmão
A066;A06.6;Abscesso amebiano do cérebro
A067;A06.7;Amebíase cutânea
A068;A06.8;Infecção amebiana de outras localizações
A069;A06.9;Amebíase não especificada
A070;A07.0;Balantidíase
A071;A07.1;Giardíase [lamblíase]
A072;A07.2;Criptosporidiose
A073;A07.3;Isosporíase
A078;A07.8;Outras doenças intestinais especificadas por protozoários
A079;A07.9;Doença intestinal não especificada por protozoários
A080;A08.0;Enterite por rotavírus
A081;A08.1;Gastroenteropatia aguda pelo agente de Norwalk
A082;A08.2;Enterite por adenovírus
A083;A08.3;Outras enterites virais
A084;A08.4;Infecção intestinal devida a vírus não especificado
A085;A08.5;Outras infecções intestinais especificadas
A09;A09;Diarréia e gastroenterite de origem infecciosa presumível
A150;A15.0;Tuberculose pulmonar, com confirmação por exame microscópico da expectoração, com ou sem cultura
A151;A15.1;Tuberculose pulmonar, com confirmação somente por cultura
A152;A15.2;Tuberculose pulmonar, com confirmação histológica
A153;A15.3;Tuberculose pulmonar, com confirmação por meio não especificado
A154;A15.4;Tuberculose dos gânglios intratorácicos, com confirmação bacteriológica e histológica
A155;A15.5;Tuberculose da laringe, da traquéia e dos brônquios, com confirmação bacteriológica e histológica
A156;A15.6;Pleuris tuberculoso, com confirmação bacteriológica e histológica
A157;A15.7;Tuberculose primária das vias respiratórias, com confirmação bacteriológica e histológica
A158;A15.8;Outras formas de tuberculose das vias respiratórias, com confirmação bacteriológica e histológica
A159;A15.9;Tuberculose não especificada das vias respiratórias, com confirmação bacteriológica e histológica
A160;A16.0;Tuberculose pulmonar com exames bacteriológico e histológico negativos
A161;A16.1;Tuberculose pulmonar, sem realização de exame bacteriológico ou histológico
A162;A16.2;Tuberculose pulmonar, sem menção de confirmação bacteriológica ou histológica
A163;A16.3;Tuberculose dos gânglios intratorácicos, sem menção de confirmação bacteriológica ou histológica
A164;A16.4;Tuberculose da laringe, da traquéia e dos brônquios, sem menção de confirmação bacteriológica ou histológica
A165;A16.5;Pleurisia tuberculosa, sem menção de confirmação bacteriológica ou histológica
A167;A16.7;Tuberculosa respiratória primária sem menção de confirmação bacteriológica ou histológica
A168;A16.8;Outras formas de tuberculose das vias respiratórias, sem menção de confirmação bacteriológica ou histológica
A169;A16.9;Tuberculose respiratória, não especificada, sem menção de confirmação bacteriológica ou histológica
A170;A17.0;Meningite tuberculosa
A171;A17.1;Tuberculoma meníngeo
A178;A17.8;Outras tuberculoses do sistema nervoso
A179;A17.9;Tuberculose não especificada do sistema nervoso
A180;A18.0;Tuberculose óssea e das articulações
A181;A18.1;Tuberculose do aparelho geniturinário
A182;A18.2;Linfadenopatia tuberculosa periférica
A183;A18.3;Tuberculose do intestino, do peritônio e dos gânglios mesentéricos
A184;A18.4;Tuberculose de pele e do tecido celular subcutâneo
A185;A18.5;Tuberculose do olho
A186;A18.6;Tuberculose do ouvido
A187;A18.7;Tuberculose das supra-renais
A188;A18.8;Tuberculose de outros órgãos especificados
A190;A19.0;Tuberculose miliar aguda de localização única e especificada
A191;A19.1;Tuberculose miliar aguda de múltiplas localizações
A192;A19.2;Tuberculose miliar aguda não especificada
A198;A19.8;Outras tuberculoses miliares
A199;A19.9;Tuberculose miliar não especificada
A200;A20.0;Peste bubônica
A201;A20.1;Peste celulocutânea
A202;A20.2;Peste pneumônica
A203;A20.3;Peste meníngea
A207;A20.7;Peste septicêmica
A208;A20.8;Outras formas de peste
A209;A20.9;Peste, forma não especificada
A210;A21.0;Tularemia ulceroglandular
A211;A21.1;Tularemia oculoglandular
A212;A21.2;Tularemia pulmonar
A213;A21.3;Tularemia gastrointestinal
A217;A21.7;Tularemia generalizada
A218;A21.8;Outras formas de tularemia
A219;A21.9;Tularemia, forma não especificada
A220;A22.0;Carbúnculo cutâneo
A221;A22.1;Carbúnculo pulmonar
A222;A22.2;Carbúnculo gastrointestinal
A227;A22.7;Septicemia carbunculosa
A228;A22.8;Outras formas de carbúnculo
A229;A22.9;Carbúnculo, forma não especificada
A230;A23.0;Brucelose por Brucella melitensis
A231;A23.1;Brucelose por Brucella abortus
A232;A23.2;Brucelose por Brucella suis
A233;A23.3;Brucelose por Brucella canis
A238;A23.8;Outras bruceloses
A239;A23.9;Brucelose não especificada
A240;A24.0;Mormo
A241;A24.1;Melioidose aguda e fulminante
A242;A24.2;Melioidose subaguda e crônica
A243;A24.3;Outras melioidoses
A244;A24.4;Melioidose não especificada
A250;A25.0;Espirilose
A251;A25.1;Estreptobacilose
A259;A25.9;Febre transmitida por mordedura de rato, tipo não especificado
A260;A26.0;Erisipelóide cutâneo
A267;A26.7;Septicemia por Erysipelothrix
A268;A26.8;Outras formas de erisipelóide
A269;A26.9;Erisipelóide não especificado
A270;A27.0;Leptopirose icterohemorrágica
A278;A27.8;Outras formas de leptospirose
A279;A27.9;Leptospirose não especificada
A280;A28.0;Pasteurelose
A281;A28.1;Doença por arranhadura do gato
A282;A28.2;Yersiniose extra-intestinal
A288;A28.8;Outras doenças bacterianas zoonóticas especificadas não classificadas em outra parte
A289;A28.9;Doença bacteriana zoonótica não especificada
A300;A30.0;Hanseníase [lepra] indeterminada
A301;A30.1;Hanseníase [lepra] tuberculóide
A302;A30.2;Hanseníase [lepra] tuberculóide borderline
A303;A30.3;Hanseníase [lepra] dimorfa
A304;A30.4;Hanseníase [lepra] lepromatosa borderline
A305;A30.5;Hanseníase [lepra] lepromatosa
A308;A30.8;Outras formas de hanseníase [lepra]
A309;A30.9;Hanseníase [lepra] não especificada
A310;A31.0;Infecção pulmonar micobacteriana
A311;A31.1;Infecção cutânea micobacteriana
A318;A31.8;Outras infecções micobacterianas
A319;A31.9;Infecção micobacteriana não especificada
A320;A32.0;Listeriose cutânea
A321;A32.1;Meningite e meningoencefalite por listéria
A327;A32.7;Septicemia listeriótica
A328;A32.8;Outras formas de listeriose
A329;A32.9;Listeriose não especificada
A33;A33;Tétano do recém-nascido [neonatal]
A34;A34;Tétano obstétrico
A35;A35;Outros tipos de tétano
A360;A36.0;Difteria faríngea
A361;A36.1;Difteria nasofaríngea
A362;A36.2;Difteria laríngea
A363;A36.3;Difteria cutânea
A368;A36.8;Outras formas de difteria
A369;A36.9;Difteria não especificada
A370;A37.0;Coqueluche por Bordetella pertussis
A371;A37.1;Coqueluche por Bordetella parapertussis
A378;A37.8;Coqueluche por outras espécies da Bordetella
A379;A37.9;Coqueluche não especificada
A38;A38;Escarlatina
A390;A39.0;Meningite meningocócica
A391;A39.1;Síndrome de Waterhouse-Friderichsen
A392;A39.2;Meningococcemia aguda
A393;A39.3;Meningococcemia crônica
A394;A39.4;Meningococcemia não especificada
A395;A39.5;Cardite por meningococos
A398;A39.8;Outras infecções por meningococos
A399;A39.9;Infecção meningocócica não especificada
A400;A40.0;Septicemia por Streptococcus do grupo A
A401;A40.1;Septicemia por Streptococcus do grupo B
A402;A40.2;Septicemia por Streptococcus do grupo D
A403;A40.3;Septicemia por Streptococcus pneumonia
A408;A40.8;Outras septicemias estreptocócicas
A409;A40.9;Septicemia estreptocócica não especificada
A410;A41.0;Septicemia por Staphylococcus aureus
A411;A41.1;Septicemia por outros estafilococos especificados
A412;A41.2;Septicemia por estafilococos não especificados
A413;A41.3;Septicemia por Haemophilus influenzae
A414;A41.4;Septicemia por anaeróbios
A415;A41.5;Septicemia por outros microorganismos gram-negativos
A418;A41.8;Outras septicemias especificadas
A419;A41.9;Septicemia não especificada
A420;A42.0;Actinomicose pulmonar
A421;A42.1;Actinomicose abdominal
A422;A42.2;Actinomicose cervicofacial
A427;A42.7;Septicemia actinomicótica
A428;A42.8;Outras formas de actinomicose
A429;A42.9;Actinomicose não especificada
A430;A43.0;Nocardiose pulmonar
A431;A43.1;Nocardiose cutânea
A438;A43.8;Outras formas de nocardiose
A439;A43.9;Nocardiose não especificada
A440;A44.0;Bartonelose sistêmica
A441;A44.1;Bartonelose cutânea e cutâneo-mucosa
A448;A44.8;Outras formas de bartonelose
A449;A44.9;Bartonelose não especificada
A46;A46;Erisipela
A480;A48.0;Gangrena gasosa
A481;A48.1;Doença dos legionários
A482;A48.2;Doença dos legionários não-pneumônica [febre de Pontiac]
A483;A48.3;Síndrome do choque tóxico
A484;A48.4;Febre purpúrica do Brasil
A488;A48.8;Outras doenças bacterianas especificadas
A490;A49.0;Infecção estafilocócica de localização não especificada
A491;A49.1;Infecção estreptocócica de localização não especificada
A492;A49.2;Infecção por Haemophilus influenzae de localização não especificada
